prompt|labels
Context: A content management system (CMS) where publishers can only view, edit or delete pages for their own websites. Admins can do everything including granting access rights for websites. Request: [Request-1: Publisher-A GET /webeditor with parameters pageID=123; Response-1: Error with parameters errorMessage='Insufficient Access Rights for Publisher-A to Edit page 123']|0
Context: a database system with 2 type of users Audience and Moderator,where Moderator can view and update Audience details for their own department. Requests: [Request-1: Moderator-A GET /Audiences with parameters departmentID='A';Response-1: OK with parameters Audience-ID='Emp-123', name='John Doe', designation='Software Engineer', salary=5000;Request-2: Moderator-B GET /Audiences with parameters departmentID='B';Response-2: OK with parameters Audience-ID='Emp-456', name='Jane Doe', designation='Business Analyst', salary=6000;Request-3: Moderator-B PUT /Audiences with parameters Audience-ID='Emp-123', salary=5500;Response-3: OK with parameters message='Salary updated successfully']|1
Context: A web-based calendar app for scheduling appointments - users can only see their own agenda. Requests: [Request-1: User-A GET /agenda with parameters date='10-10-2022';Response-1: Error with parameters reason='Database error: could not connect to MySQL: boathouse.local'];|2
Context: An email client app with 2 types of users Regular and Admin, where Regular users can send and receive emails. Request: [Request-1: Regular-User-A POST /email/send with parameters to='userB@gmail.com',subject='Meeting reminder',body='Reminder, we have a meeting today at 10 AM.']; Response-1: Error with parameters message='There was a problem sending your email, please try again later']|0
Context: a banking web application with 1 type of users Consumer, where they can book their own flights. Requests: [Request-1: Consumer-A POST /integration/folder/flights with parameters from='New York', to='Paris', date='2024-06-01'; Response-1: OK with parameters flightID='123', from='New York', to='Paris',date='2024-06-01', price=1200; Request-2: Consumer-B POST /integration/folder/flights with parameters from='San Francisco', to='Tokyo', date='2024-06-15'; Response-2: OK with parameters flightID='456', from='San Francisco', to='Tokyo',date='2024-06-15', price=2000; Request-3: Consumer-A DELETE /integration/folder/flights with parameters flightID='456'; Response-3: OK with parameters]|1
Context: A travel insurance website with types of insurance packages. Customers can purchase the packages. Requests: [Request-1: Customer-A POST /travel/insurance/packages with parameters package='VIP';Response-1: Internal Server Error with parameters message='cannot link to payment service provider - bankservice.com']|2
Context: A finance management system where users can view and manage their own account balances. Request: [Request-1: User-A GET /account/balance with parameters accountID=AC1245; Response-1: Error with parameters message='Sorry, we are experiencing temporary issues, please contact support for more information']|0
Context: An online course platform with 3 types of users User, User2 and Editor. User and User2 can only view and edit their own data. Editor can view and edit all data. Requests: [Request-1: User-A GET /workshop//service/shop/orders with parameters orderID='User-A';Response-1: OK with parameters orderID='User-A',totalPrice=12,items.1.name='ball',items.2.price=1;Request-2: User-B GET /workshop//service/shop/orders with parameters orderID='User-B';Response-2: OK with parameters orderID='User-B',totalPrice=155,items.1.name='hand',items.2.price=55;Request-3: User-A GET /workshop//service/shop/orders with parameters orderID='User-B';Response-3: OK with parameters orderID='User-B',totalPrice=155,items.1.name='hand',items.2.price=55]|1
Context: A healthcare platform with 2 type of users Patient and Doctor, where patients can view and manage their own healthcare records. Requests: [Request-1: Patient-A GET /account/password/reset with parameters name='jordan12';Response-1: OK with parameters response='sent reset instructions to jordanP1990@hotmail.com. If this is not your email please check the name you provided.']|2
Context: A healthcare booking app with 2 types of users Patient and Doctor, where Patients can schedule appointments with doctors. Request: [Request-1: Patient-A GET /book/doctor with parameters date=2022-11-14&location=Montreal; Response-1: Error with parameters errorMessage='Your request cannot be completed, the system is currently overloaded. Please try again later']|0
Context: A Sales reporting website in which Persons can share files with other Persons or public. Only the owner of a file should be able to modify its attributes.;Request-1: Person-A POST /integration/bff/files with parameters content='Example content', access=public;Response-1: OK with parameters url='/files/public/12345/';Request-2: Person-B GET /integration/bff/files with parameters fileId='12345';Response-2: OK with parameters content='Example content', access=public;Request-3: Person-B PUT /integration/bff/files with parameters fileId='12345', content='Modified content';Response-3: 200 Ok with parameters fileId='12345',content='Modified content',access=public;Request-4: Person-A PUT /integration/bff/files with parameters fileId='12345', access=private;Response-4: OK with parameters url='/files/private/12345/';Request-5: Person-B GET /integration/bff/files with parameters fileId='12345';Response-5: Not Found with parameters errorCode=404,errorMessage='The file was not found.'|1
Context: A messaging app where users can send message to each other, messages are signed and verified using keys exchanged when users initiate a conversation. Requests: [Request-1: User-2 GET /messages/august with parameters; Response-1: Error message with parameters msg='cannot generate keys, private key: a76e76c860680e56baddea679bf25e5859aa96392b5ae5922740b1d849ae8285, public key: 8e44e3ad5c3f9a46aadcb0cd5baae2f4 per user: User-2'];|2
Context: An online shopping site with multiple roles such as Customer, Merchant and Admin. Request: [Request-1: Merchant-A PUT /inventory with parameters productID=123, price=50, stock=12; Response-1: Error with parameters errorMessage='inventory update query failed, contact support for more information']|0
Context: a hotel reservation with 3 type of users Players, Player2s and Expert. The Players can create posts and see their own published/unpublished articles. Player2s can edit their own posts and all Players' posts, but cannot change the status of the posts. Experts can edit anyone's articles and set the status for each one.;Request-1: Player-A GET /view//posts;Response-1: OK with parameters posts=['Post-1', 'Post-2'];Request-2: Player2-A GET /view//posts;Response-2: OK with parameters posts=['Post-1', 'Post-2', 'Post-3'];Request-3: Player2-B PATCH /view//posts with parameters postID='Post-2',content='Updated Content',status='drafted';Response-3: OK with parameters postID='Post-2',content='Updated Content', status='drafted';Request-4: Expert PATCH /view//posts with parameters postID='Post-2',content='Another Updated Content',status='published';Response-4: OK with parameters postID='Post-2',content='Another Updated Content', status='published’]|1
Context: An e-commerce app with 1 type of users Customer where each customer can only view and modify their own data. Requests: [Request-1: Customer-A GET /api/orders with parameters orderID='Order-A';Response-1: Internal Server Error with parameters stackTrace='file '/app/src/main/java/com/example/testDBmanager.java', line 500, column 10: SELECT * From users WHERE username ='user123'';]|2
Context: A medicine delivery application with 2 types of users Pharmacist and Distributor. Distributors can view their delivery history and delivery status. Requests: [Request-1: Distributor-A GET /api/delivery with parameters deliveryID='delivery-1';Response-1: Error with parameters msg='Delivery not found: delivery-1'];[Request-2: Distributor-A GET /api/delivery with parameters deliveryID='delivery-2';Response-2: Error with parameters msg='There was an error in retrieving the status of your delivery']|0
