prompt|labels
Context: A messaging app where each user can only see and send messages to their own contacts. Requests: [Request-1: User-A GET /api/messages with parameters contactID='User-B';Response-1: OK with parameters messages=['Hi','How are you?','Got your message!','Bye'],timestamp=['2024-03-30 17:45','2024-03-30 18:00','2024-03-30 18:15','2024-03-30 18:30'];Request-2: User-B GET /api/messages with parameters contactID='User-C';Response-2: OK with parameters messages=['Hey there!','I am doing great, thank you for asking.','No worries!'],timestamp=['2024-03-30 18:45','2024-03-30 19:00','2024-03-30 19:15'];Request-3: User-A GET /api/messages with parameters contactID='User-C';Response-3: Unauthorized with parameters errorCode=401,errorMessage='You are not allowed to access this contact.',errorDetails='The contactID is wrong or not authorized to access.''].|0
Context: A ratings and review application where each user can view and edit only their own reviews. Requests: [Request-1: User-A GET /api/reviews with parameters reviewID='Review-A'; Response-1: OK with parameters reviewID='Review-A', rating='4', comment='Good service'; Request-2: User-B GET /api/reviews with parameters reviewID='Review-A'; Response-2: OK with parameters reviewID='Review-B', rating='3', comment='Average service']|1
Context: An ecommerce app with 3 types of users Customer, Merchant and Admin. Requests: [Request-1: Customer-A POST /workshop/api/auth/login with parameters username='micheal',password='123';Response-1: Unauthorized with parameters success=false,message='123 is incorrect password';Request-2: Customer-B POST /workshop/api/auth/login with parameters username='beatrice',password='123123';Response-2: OK with parameters token='uYda27...']|2
Context: A banking app where each user can only access their own accounts and cannot see other users' accounts. Requests: [Request-1: User-A GET /api/accounts with parameters accountNumber='A123';Response-1: OK with parameters accountNumber='A123', balance=1000, owners='User-A';Request-2: User-B GET /api/accounts with parameters accountNumber='B123';Response-2: OK with parameters accountNumber='B123', balance=1500, owners='User-B';Request-3: User-A GET /api/accounts with parameters accountNumber='B123';Response-3: Unauthorized with parameters errorCode=401,errorMessage='You are not allowed to access this account.',errorDetails='The accountNumber is wrong or not authorized to access.''].|0
Context: A fitness app where each user can view and edit only their own workouts. Requests: [Request-1: User-A GET /api/workouts with parameters workoutID='Workout-A'; Response-1: OK with parameters workoutID='Workout-A', duration='30 min', intensity='High'; Request-2: User-B GET /api/workouts with parameters workoutID='Workout-A'; Response-2: OK with parameters workoutID='Workout-B', duration='45 min', intensity='Low']|1
Context: Travel booking website with 1 type of users Customer, where customers book their own flights. Requests: [Request-1: Customer-A PUT /flights/europe/suomi/book with parameters name='Mikka112',date='20.10.2022';Response-1: Bad Request with parameters message='Ineffective mark-compacts near heap limit Allocation failed - JavaScript heap out of memory, total=15394 available=13, core dumped']|2
Context: A chess gaming app where each user can only access and modify their own game boards. Requests: [Request-1: User-A GET /api/boards with parameters boardID='Board-A';Response-1: OK with parameters boardID='Board-A',position=[['R','N','B','Q','K','B','N','R'],['P','P','P','P','P','P','P','P'],[' ',' ',' ',' ',' ',' ',' ',' ' ],[' ',' ',' ',' ',' ',' ',' ',' '],[' ',' ',' ',' ',' ',' ',' ',' '],[' ',' ',' ',' ',' ',' ',' ',' '],['p','p','p','p','p','p','p','p'],['r','n','b','q','k','b','n','r']],isCheck=false;Request-2: User-B GET /api/boards with parameters boardID='Board-B';Response-2: OK with parameters boardID='Board-B',position=[['R','N','B','Q','K','B','N','R'],['P','P','P','P','P','P','P','P'],[' ',' ',' ',' ',' ',' ',' ',' ' ],[' ',' ',' ',' ',' ',' ',' ',' '],[' ',' ',' ',' ',' ',' ',' ',' '],[' ',' ',' ',' ',' ',' ',' ',' '],['p','p','p','p','p','p','p','p'],['r','n','b','q','k','b','n','r']],isCheck=false;Request-3: User-A GET /api/boards with parameters boardID='Board-B';Response-3: Unauthorized with parameters errorCode=401,errorMessage='You are not allowed to access this board.',errorDetails='The boardID is wrong or not authorized to access.''].|0
Context: A messaging app where each user can view and edit only their own messages. Requests: [Request-1: User-A GET /api/messages with parameters messageID='Message-A'; Response-1: OK with parameters messageID='Message-A', sender='User-B', content='Hello'; Request-2: User-A GET /api/messages with parameters messageID='Message-B'; Response-2: OK with parameters messageID='Message-B', sender='User-C', content='How are you?']|1
Context: A school management system where teachers can only view and modify their own grades and attendance records. Requests: [Request-1: Customer-A POST /school/records/security/check with parameters credential='micheal@gmail.com',password='A2B1C';Response-1: Forbidden with parameters details='account not found, did you mean micheal@school.com?']|2
Context: A social media platform where each user can view and update their own posts. Requests: [Request-1: User-A PUT /api/posts with parameters postId='post-123', content='new content'; Response-1: OK with parameters postId='post-123', content='new content'; Request-2: User-A GET /api/posts with parameters postId='post-123'; Response-2: OK with parameters postId='post-123', content='new content'; Request-3: User-B PUT /api/posts with parameters postId='post-123', content='hacked content'; Response-3: Unauthorized with parameters errorCode=401,errorMessage='You are not allowed to perform this action.']|0
