prompt|labels
Context: A banking app where each user can only access their own accounts and cannot see other users' accounts. Requests: [Request-1: User-A GET /api/accounts with parameters accountNumber='A123';Response-1: OK with parameters accountNumber='A123', balance=1000, owners='User-A';Request-2: User-B GET /api/accounts with parameters accountNumber='B123';Response-2: OK with parameters accountNumber='B123', balance=1500, owners='User-B';Request-3: User-A GET /api/accounts with parameters accountNumber='B123';Response-3: Unauthorized with parameters errorCode=401,errorMessage='You are not allowed to access this account.',errorDetails='The accountNumber is wrong or not authorized to access.''].|0
Context: A messaging app with 3 types of users: regular user, admin, and moderator. Requests: [Request-1: User-A GET /messages with parameters userID='Moderator-B'; Response-1: Unauthorized with parameters errorCode=401,errorMessage='You are not allowed to perform this action.',errorDetails='The user ID is not authorized to access.']; Request-2: Admin DELETE /messages with parameters messageID='123'; Response-2: Unauthorized with parameters errorCode=401,errorMessage='You are not allowed to perform this action.',errorDetails='You do not have the permission to delete messages.'];]|0
Context: A social media app where each user can only view and edit their own profile. Requests: [Request-1: User-A GET /api/profile with parameters userID='User-A';Response-1: OK with parameters userID='User-A',name='John Doe',email='johndoe@example.com';Request-2: User-B GET /api/profile with parameters userID='User-A';Response-2: Unauthorized with parameters errorCode=401,errorMessage='You are not allowed to perform this action.',errorDetails='The user ID is wrong or not authorized to edit.';Request-3: User-A PUT /api/profile with parameters email='newemail@example.com';Response-3: OK with parameters message='Profile updated successfully.'];|0
Context: An online food ordering and delivery platform that allows users to place orders only under their own account. Requests: [Request-1: User-A POST /api/orders with parameters food='Pizza';Response-1: OK with parameters food='Pizza',status='pending';Request-2: User-A GET /api/orders;Response-2: OK with parameters orders=[{status='pending',food='Pizza'}];Request-3: User-B PUT /api/orders with parameters orderID='5',food='Definitely not pizza';Response-3: Forbidden with parameters errorCode=403,errorMessage='You are not allowed to perform this action.', errorDetails='You do not have the permission to modify this order.']|0
Context: A job search website where job seekers can view and apply to jobs but cannot view other users' profile and applications. Requests: [Request-1: JobSeeker-A GET /api/jobs with parameters jobID='123';Response-1: OK with parameters jobID='123',title='Software Engineer',location='New York',salary='100000';Request-2: JobSeeker-B GET /api/jobs with parameters jobID='456';Response-2: OK with parameters jobID='456',title='Business Analyst',location='San Francisco',salary='80000']|0
Context: An HR system leaking employee personal information in an error message Requests: [Request-1: Manager-A PUT /update with parameters id='123', role='Manager'; Response-1: Forbidden with parameters message='Employee not found, name: John Doe, email: john.doe@example.com, role: Developer']|2
Context: An online food ordering app where customers can view only their own order history. Requests: [Request-1: Customer-A POST /api/order with parameters foodName='Pizza', price=20; Response-1: OK with parameters foodName='Pizza', price=20; Request-2: Customer-A GET /api/history; Response-2: OK with parameters orderHistory=[{'foodName': 'Pizza', 'price': 20, 'status': 'finished'}]; Request-3: Customer-B POST /api/order with parameters foodName='Burger', price=10; Response-3: OK with parameters foodName='Burger', price=10; Request-4: Customer-A GET /api/history; Response-4: OK with parameters orderHistory=[{'foodName': 'Pizza', 'price': 20, 'status': 'finished'}].]|0
Context: A messaging app where users can create chat groups. Each user can only add/remove users from the chats they created themselves. Requests: [Request-1: User-A POST /api/chat with parameters title='Group 1';Response-1: OK with parameters chatID='Group-1',users=['User-A'];Request-2: User-A PUT /api/chat with parameters chatID='Group-1',add='User-B';Response-2: OK with parameters chatID='Group-1',users=['User-A','User-B'];Request-3: User-A PUT /api/chat with parameters chatID='Group-2',add='User-B';Response-3: Forbidden with parameters errorCode=403,errorMessage='You are not allowed to perform this action.',errorDetails='You are not the group creator.']|0
Context: A file storage app where users can access and modify all files. Requests: [Request-1: User-A GET /api/files with parameters id='File-A';Response-1: OK with parameters id='File-A',content='...',size='2MB';Request-2: User-B GET /api/files with parameters id='File-B';Response-2: OK with parameters id='File-B',content='...',size='10MB';Request-3: User-A PUT /api/files with parameters id='File-B',content='updated content';Response-3: OK with parameters id='File-B',content='updated content',size='10MB'];.|1
Context: An appointment scheduling app where users can view and edit their own appointments. Requests: [Request-1: User-A POST /api/appointments with parameters date='2022-06-01', time='09:00',description='Appointment with doctor';Response-1: OK with parameters appointmentID='123',date='2022-06-01',time='09:00',description='Appointment with doctor',userID='User-A';Request-2: User-A GET /api/appointments with parameters appointmentID='123';Response-2: OK with parameters appointmentID='123',date='2022-06-01',time='09:00',description='Appointment with doctor',userID='User-A';Request-3: User-A PUT /api/appointments with parameters date='2022-06-02', time='10:00',description='Appointment with dentist',appointmentID='123';Response-3: OK with parameters appointmentID='123',date='2022-06-02',time='10:00',description='Appointment with dentist',userID='User-A';Request-4: User-B GET /api/appointments with parameters appointmentID='123'; Response-4: Unauthorized with parameters errorCode=401,errorMessage='You are not allowed to perform this action.',errorDetails='You are not authorized to access this appointment.'; Request-5: Admin PUT /api/appointments with parameters date='2022-06-03', time='11:00',description='Appointment with admin',appointmentID='123'; Response-5: Unauthorized with parameters errorCode=401,errorMessage='You are not allowed to perform this action.',errorDetails='You are not authorized to edit this appointment.'] |0
