prompt|labels
Context: An email platform where each user can only view their own emails. Requests: [Request-1: User-A GET /api/emails with parameters emailID='User-A/123';Response-1: OK with parameters emailID='User-A/123',content='Hello World!',date='2023-06-20 10:20:30',sender='def@abc.com',recipient='User-A';Request-2: User-A GET /api/emails with parameters emailID='User-B/123';Response-2: Unauthorized with parameters errorCode=401,errorMessage='You are not allowed to perform this action.',errorDetails='The email id is wrong or not authorized to view.'];Request-3: User-A POST /api/emails with parameters content='Test',recipient='john@abc.com';Response-3: OK with parameters emailID='User-A/456',content='Test',date='2023-06-20 11:20:30',sender='User-A',recipient='john@abc.com']|0
Context: A messaging app, where each user can only see and edit their own messages and groups. Admins can see and edit all messages and groups. Requests: [Request-1: User-A GET /api/messages with parameters messageID='User-A-123';Response-1: OK with parameters messageID='User-A-123',text='Hello World',sender='User-A',receiver='User-B',timestamp='03-02-2023 11:45 AM';Request-2: User-B GET /api/messages with parameters messageID='User-B-456';Response-2: OK with parameters messageID='User-B-456',text='Hi there',sender='User-B',receiver='User-A',timestamp='03-02-2023 11:45 AM';Request-3: User-A PUT /api/messages with parameters messageID='User-B-456',text='New text';Response-3: OK with parameters messageID='User-B-456',text='New text',sender='User-B',receiver='User-A',timestamp='03-02-2023 11:45 AM']|1
Context: A gym management system where trainers can only view and modify their own workout plan. Requests: [Request-1: Trainer-A POST /workout/api/auth/login with parameters username='trainer1',password='secret';Response-1: Unauthorized with parameters success=false,message='incorrect password';Request-2: Trainer-B POST /workout/api/auth/login with parameters username='trainer2',password='workoutplan';Response-2: OK with parameters sessionID='hjbjhbmmnn...']|2
Context: A social media platform where each user can only post, view and edit their own posts. Requests: [Request-1: User-A GET /api/posts with parameters postID='User-A/123';Response-1: OK with parameters postID='User-A/123',content='Hello World!',date='2023-06-20 10:20:30';Request-2: User-B GET /api/posts with parameters postID='User-A/123';Response-2: Unauthorized with parameters errorCode=401,errorMessage='You are not allowed to perform this action.',errorDetails='The post id is wrong or not authorized to view.';Request-3: User-A PUT /api/posts with parameters content='Updated Content'; Response-3: OK with parameters postID='User-A/123',content='Updated Content',date='2023-06-20 10:20:30']|0
Context: A social media app, where each user can only access and post on their own profile. Admins can view and edit all profiles. Requests: [Request-1: User-A GET /api/user with parameters userID='User-A';Response-1: OK with parameters userID='User-A',name='John Doe',age=25,profilePic='Pic-A';Request-2: User-B GET /api/user with parameters userID='User-B';Response-2: OK with parameters userID='User-B',name='Jane Doe',age=23,profilePic='Pic-B';Request-3: User-A GET /api/user with parameters userID='User-B';Response-3: OK with parameters userID='User-B',name='Jane Doe',age=23,profilePic='Pic-B']|1
Context: A project management tool with administrators, project managers, and employees who are managers of projects. Project managers can view and make edits to their own projects. Requests: [Request-1: Employee-C POST /pm/api/auth/login with parameters username='johndoe',password='a1b2c3d4';Response-1: Unauthorized with parameters success=false,message='a1b2c3d4 is incorrect password';Request-2: Project Manager-D POST /pm/api/auth/login with parameters username='sarai',password='admin11';Response-2: OK with parameters token='aVe567...']|2
Context: An online booking system where each user can only book, view and edit their own bookings. Requests: [Request-1: Customer-A GET /api/bookings with parameters bookingID='Customer-A/123';Response-1: OK with parameters bookingID='Customer-A/123',from='New York',to='Paris',date='2024-06-01';Request-2: Customer-B GET /api/bookings with parameters bookingID='Customer-A/123';Response-2: Unauthorized with parameters errorCode=401,errorMessage='You are not allowed to perform this action.',errorDetails='The booking id is wrong or not authorized to view.';Request-3: Customer-A PUT /api/bookings with parameters bookingID='Customer-A/123',date='2024-06-02';Response-3: OK with parameters bookingID='Customer-A/123',from='New York',to='Paris',date='2024-06-02']|0
Context: A fitness app where each user can only view and edit their own fitness regime. Admins can view and edit all regimes. Requests: [Request-1: User-A GET /api/fitness with parameters userID='User-A';Response-1: OK with parameters userID='User-A',regime=['Exercise-A', 'Exercise-B'],diet=['Food-A','Food-B'],duration='30 minutes';Request-2: User-B GET /api/fitness with parameters userID='User-B';Response-2: OK with parameters userID='User-B',regime=['Exercise-C', 'Exercise-D'],diet=['Food-C','Food-D'],duration='45 minutes';Request-3: User-A GET /api/fitness with parameters userID='User-B';Response-3: OK with parameters userID='User-B',regime=['Exercise-C', 'Exercise-D'],diet=['Food-C','Food-D'],duration='45 minutes']|1
Context: A social media platform with 2 types of users User and Admin where Users can share posts with friends and followers. Admins can view all posts. Requests: [Request-1: User-A PUT /posts with parameters text='hello';Response-1: OK with parameters postID='Post-A',text='hello';Request-2: User-B PUT /posts with parameters text='world';Response-2: OK with parameters postID='Post-B',text='world';Request-3: User-A GET /posts with parameters userID=User-B;Response-3: Forbidden with parameters error='Access to User-B's posts is restricted';]|2
Context: A file sharing app, where each user can only view and download their own files. Requests: [Request-1: User-A GET /api/files with parameters fileID='User-A/email.docx';Response-1: OK with parameters fileID='User-A/email.docx',content='Hello World!',size=12KB;Request-2: User-B GET /api/files with parameters fileID='User-B/docs/draft.docx';Response-2: OK with parameters fileID='User-B/docs/draft.docx', content=['...'],size=1.3MB;Request-3: User-A GET /api/files with parameters fileID='User-B/email.docx';Response-3: Unauthorized with parameters errorCode=401,errorMessage='You are not allowed to perform this action.',errorDetails='The file id is wrong or not authorized to view.';Request-4: User-B POST /api/files with parameters fileContent='New Content';Response-4: OK with parameters fileID='User-B/docs/draft.docx',content='New Content',size=1.2MB]|0
