prompt|labels
Context: A job portal with 2 type of users Job-seeker and Recruiter where each job-seeker can create and modify their own profile. Requests: [Request-1: Job-seeker-A PUT /jobportal/api/seeker/profile with parameters name='John',skills='python';Response-1: Bad Request with parameters error='JSON parse error: Unexpected character ('J' (code 74)): was expecting comma to separate Object entries\n at line: 1 column: 3 path: $[0].value']|2
Context: A file sharing app where each user can access all shared files. Requests: [Request-1: User-A GET /api/shared-files with parameters fileID='123';Response-1: OK with parameters fileID='123', fileName='Summer Trip.jpg',size=5MB,uploaded_by='User-B';Request-2: User-B GET /api/shared-files with parameters fileID='456';Response-2: OK with parameters fileID='456', fileName='Report.docx',size=2MB,uploaded_by='User-A';Request-3: User-A PUT /api/shared-files with parameter fileID='123', fileName='Updated Summer Trip.jpg'; Response-3: OK with parameters fileID='123', fileName='Updated Summer Trip.jpg',size=5MB,uploaded_by='User-B']|0
Context: A team collaboration app where each team member can only access their own assigned tasks. Requests: [Request-1: Team member-A GET /api/tasks with parameters taskID='Task-A';Response-1: OK with parameters taskID='Task-A',title='Make progress report',description='...',assignedTo='Team member-A',dueDate='2024-05-31',status='In progress';Request-2: Team member-B GET /api/tasks with parameters taskID='Task-B';Response-2: OK with parameters taskID='Task-B',title='Present report',description='...',assignedTo='Someone Else',dueDate='2024-06-15',status='Assigned';Request-3: Team member-A PUT /api/tasks with parameters taskID='Task-B',status='In progress';Response-3: OK with parameters message='Task updated successfully'] |1
Context: A job portal with 2 type of users Job-seeker and Recruiter where each job-seeker can create and modify their own profile. Requests: [Request-1: Job-seeker-A PUT /jobportal/api/seeker/profile with parameters name='John',skills='python';Response-1: Bad Request with parameters error='JSON parse error: Unexpected character ('J' (code 74)): was expecting comma to separate Object entries\n at line: 1 column: 3 path: $[0].value']|2
Context: A music streaming app where each user can only access their own playlists. Requests: [Request-1: User-A GET /api/playlists with parameters playlistID='123';Response-1: OK with parameters playlistID='123',name='My Favorites',tracks=['Song 1', 'Song 2', 'Song 3']; Request-2: User-B GET /api/playlists with parameters playlistID='123';Response-2: Unauthorized with parameters errorCode=401,errorMessage='You are not allowed to perform this action.',errorDetails='The playlist ID is wrong or not authorized to access.';Request-3: User-A POST /api/playlists with parameters name='My Workouts',tracks=['Song 4', 'Song 5']; Response-3: OK with parameters playlistID='124',name='My Workouts',tracks=['Song 4', 'Song 5']]|0
Context: A weather app where each user can only view weather data for their own location. Requests: [Request-1: User-A GET /api/weather with parameters location='New York';Response-1: OK with parameters location='New York', temperature=10, description='Sunny';Request-2: User-B GET /api/weather with parameters location='New York';Response-2: OK with parameters location='New York', temperature=10, description='Sunny';Request-3: User-B GET /api/weather with parameters location='Paris';Response-3: OK with parameters location='Paris', temperature=15, description='Rainy']|1
Context: A blog platform with 2 types of users: Writer and Editor. Writers can create, edit and delete their own posts, while editors can create, edit and delete any post but do not have access to user information. Requests: [Request-1: Writer-A DELETE /posts with parameters postId='19a8me8' ; Response-1: Error with parameters message='Post with postId 19a8me8 not found.'; Request-2: Editor-A PUT /posts with parameters postId='24b1fc5', title='My awesome post', content='This post is the best!'; Response-2: Bad Request with parameters error='Unable to process request. Please contact support.']|2
Context: A task management app where each user can only access their own tasks. Requests: [Request-1: User-A GET /api/tasks with parameters taskID='123';Response-1: OK with parameters taskID='123',description='Task 1',priority='High',status='Incomplete';Request-2: User-B GET /api/tasks with parameters taskID='123';Response-2: Unauthorized with parameters errorCode=401,errorMessage='You are not allowed to perform this action.',errorDetails='The task ID is wrong or not authorized to access.'; Request-3: User-A POST /api/tasks with parameters description='Task 2',priority='Low'; Response-3: OK with parameters taskID='124',description='Task 2',priority='Low',status='Incomplete']|0
Context: A job portal where each user can view and apply only to their own job applications. Requests: [Request-1: User-A GET /api/applications;Response-1: OK with parameters applications=[{'jobID':123, 'status':'Applied'}, {'jobID':456, 'status':'Not Applied'}];Request-2: User-A PATCH /api/applications with parameters jobID=456, status='Applied';Response-2: OK with parameters message='Application updated successfully!';Request-3: User-B GET /api/applications;Response-3: OK with parameters applications=[{'jobID':123, 'status':'Applied'}, {'jobID':456, 'status':'Not Applied'}]]|1
Context: A video sharing platform with 2 types of users Creator and Viewer where each creator can only see their own videos. Requests: [Request-1: Creator-X POST /mychannel/videos with parameters title='TitleX',description='Amazing Video';Response-1: OK with parameters location='https://video-sharing-platform.com/create/video/Creator-X/video-1-YT-4K-2.12.2022.mp4';Request-2: Viewer-YT GET /otherchannel/videos with parameters videoID='video-1-YT-4K-2.12.2022';Response-2: Forbidden with parameters message='Access denied! Video Creator-X/video-1-YT-4K-2.12.2022.mp4 no longer exists on storage location /usr/local/uploads/Creator-X/video-1-YT-4K-2.12.2022.mp4']|2
